Rk,Athlete,Gender,Age,Sport,Gold,Silver,Bronze,Total
141,Devon Kershaw,Male,27,Cross Country Skiing,,,,
142,Cindy Klassen,Female,30,Speed Skating,,,,
143,Zina Kocher,Female,27,Biathlon,,,,
144,Justin Kripps,Male,23,Bobsleigh,,,,
145,Stefan Kuhn,Male,30,Cross Country Skiing,,,,
146,Michael Lambert,Male,23,Snowboarding,,,,
147,Justin Lamoureux,Male,33,Snowboarding,,,,
148,Anabelle Langlois,Female,28,Figure Skating,,,,
149,Regan Lauscher,Female,29,Luge,,,,
150,Jean-Philippe Le Guellec,Male,24,Biathlon,,,,
151,Alexa Loo,Female,37,Snowboarding,,,,
152,Pierre Lueders,Male,39,Bobsleigh,,,,
153,Jesse Lumsden,Male,27,Bobsleigh,,,,
154,Dominique Maltais,Female,29,Snowboarding,,,,
155,Valerie Maltais,Female,19,Short Track Speed Skating,,,,
156,Vincent Marquis,Male,25,Freestyle Skiing,,,,
157,Brad Martin,Male,23,Snowboarding,,,,
158,Brent McMurtry,Male,23,Cross Country Skiing,,,,
159,Erin Mielzynski,Female,19,Alpine Skiing,,,,
160,Eric Mitchell,Male,17,Ski Jumping,,,,
161,Chris Moffat,Male,30,Luge,,,,
162,Mike Moffat,Male,27,Luge,,,,
163,Matthew Morison,Male,22,Snowboarding,,,,
164,Trevor Morrice,Male,18,Ski Jumping,,,,
165,Julia Murray,Female,21,Freestyle Skiing,,,,
166,Jason Myslicki,Male,32,Nordic Combined,,,,
167,Drew Neilson,Male,35,Snowboarding,,,,
168,Tyler Nella,Male,21,Alpine Skiing,,,,
169,Mercedes Nicoll,Female,26,Snowboarding,,,,
170,Kyle Nissen,Male,30,Freestyle Skiing,,,,
171,Steve Omischl,Male,31,Freestyle Skiing,,,,
172,Manuel Osborne-Paradis,Male,26,Alpine Skiing,,,,
173,Jeff Pain,Male,39,Skeleton,,,,
174,Kyle Parrott,Male,24,Speed Skating,,,,
175,Cynthia Phaneuf,Female,22,Figure Skating,,,,
176,Paul Poirier,Male,18,Figure Skating,,,,
177,Danielle Poleschuk,Female,24,Freestyle Skiing,,,,
178,Marie-Pier Prefontaine,Female,21,Alpine Skiing,,,,
179,Stefan Read,Male,22,Ski Jumping,,,,
180,Shannon Rempel,Female,25,Speed Skating,,,,
181,Sara Renner,Female,33,Cross Country Skiing,,,,
182,Kristi Richards,Female,28,Freestyle Skiing,,,,
183,Francois-Olivier Roberge,Male,24,Speed Skating,,,,
184,Pierre-Alexandre Rousseau,Male,30,Freestyle Skiing,,,,
185,Shona Rubens,Female,23,Alpine Skiing,,,,
186,Brittany Schussler,Female,24,Speed Skating,,,,
187,Ryan Semple,Male,27,Alpine Skiing,,,,
188,Kelsey Serwa,Female,20,Freestyle Skiing,,,,
189,Warren Shouldice,Male,26,Freestyle Skiing,,,,
190,Meaghan Simister,Female,23,Luge,,,,
191,Georgia Simmerling,Female,20,Alpine Skiing,,,,
192,Justin Snith,Male,18,Luge,,,,
193,Brad Spence,Male,25,Alpine Skiing,,,,
194,Megan Tandy,Female,21,Biathlon,,,,
195,Palmer Taylor,Female,17,Snowboarding,,,,
196,Tristan Walker,Male,18,Luge,,,,
197,Trevor White,Male,25,Alpine Skiing,,,,
198,Madeleine Williams,Female,26,Cross Country Skiing,,,,
199,Jeremy Wotherspoon,Male,33,Speed Skating,,,,
200,Neville Wright,Male,29,Bobsleigh,,,,
201,Kimiko Zakreski,Female,26,Snowboarding,,,,
